,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,id,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,position
281,0.0,3.0,69.0,,,0.0,118748.0,6.0,,0.0,0.0,0.0,0.0,50.1,3.0,2.0,2.0,,1.0,3.0,4.5,5.5,20.0,Mohamed,20.0,3.0,3.0,32.8,1.0,1.0,254.0,1.0,117.2,1.0,1.0,90.0,,,120.0,0.0,0.0,2.0,0.0,,118748.jpg,20.0,0.0,0.0,Salah,36.5,0.0,,a,11.0,14.0,161.0,1.0,1.0,20.0,260644.0,260644.0,110164.0,110164.0,1.7,1.7,Salah,0.0,Midfielder
511,0.0,3.0,34.0,,,1.0,107613.0,,,0.0,0.0,0.0,0.0,0.2,192.0,63.0,3.0,,1.0,2.0,1.1,2.1,15.0,Romain,15.0,0.0,1.0,10.2,10.0,2.0,461.0,1.0,63.4,5.0,2.0,90.0,,,50.0,0.0,0.0,,0.0,,107613.jpg,15.0,0.0,0.0,Saïss,5.3,0.0,,a,20.0,39.0,38.0,15.0,1.0,15.0,123516.0,123516.0,31622.0,31622.0,3.0,3.0,Saïss,0.0,Defender
27,0.0,3.0,37.0,,,1.0,226597.0,,,0.0,0.0,0.0,0.0,0.3,182.0,60.0,,,1.0,2.0,2.6,3.1,15.0,Gabriel,15.0,0.0,1.0,8.5,20.0,4.0,494.0,1.0,51.8,9.0,4.0,90.0,,,50.0,0.0,0.0,,0.0,,226597.jpg,15.0,0.0,0.0,Magalhães,9.3,0.0,,a,1.0,3.0,33.0,27.0,6.0,15.0,327571.0,327571.0,34596.0,34596.0,3.0,3.0,Gabriel,0.0,Defender
372,1.0,3.0,41.0,,,1.0,83314.0,,,0.0,0.0,0.0,0.0,13.4,57.0,38.0,,,1.0,3.0,1.9,1.4,14.0,Jeff,14.0,0.0,1.0,10.3,9.0,5.0,485.0,1.0,67.0,4.0,2.0,90.0,,,50.0,0.0,0.0,,0.0,,83314.jpg,14.0,0.0,0.0,Hendrick,3.6,0.0,,a,14.0,4.0,23.0,37.0,15.0,14.0,170095.0,170095.0,31182.0,31182.0,2.8,2.8,Hendrick,0.0,Midfielder
131,1.0,3.0,44.0,,,0.0,225796.0,1.0,,0.0,0.0,0.0,0.0,30.3,16.0,5.0,,,1.0,2.0,1.6,3.1,14.0,Reece,14.0,1.0,1.0,11.8,3.0,1.0,123.0,1.0,76.8,2.0,1.0,90.0,,,50.0,0.0,0.0,,0.0,,225796.jpg,14.0,0.0,0.0,James,8.4,0.0,,a,5.0,8.0,11.0,68.0,13.0,14.0,173821.0,173821.0,39709.0,39709.0,2.8,2.8,James,0.0,Defender
241,0.0,2.0,38.0,,,1.0,166477.0,,,0.0,0.0,0.0,0.0,3.0,112.0,26.0,,,1.0,2.0,3.0,3.5,14.0,Timothy,14.0,0.0,1.0,8.4,22.0,6.0,498.0,1.0,45.8,10.0,5.0,90.0,,,55.0,0.0,0.0,,0.0,,166477.jpg,14.0,0.0,0.0,Castagne,4.1,0.0,,a,9.0,13.0,35.0,22.0,4.0,14.0,122316.0,122316.0,19697.0,19697.0,2.5,2.5,Castagne,0.0,Defender
114,1.0,2.0,43.0,100.0,,0.0,85955.0,,,0.0,0.0,0.0,0.0,23.2,27.0,19.0,,,1.0,3.0,0.9,2.4,12.0,Jorge Luiz,12.0,1.0,1.0,10.1,12.0,7.0,105.0,1.0,60.8,6.0,3.0,84.0,,2020-09-14T21:30:11.281378Z,50.0,0.0,0.0,1.0,0.0,,85955.jpg,12.0,0.0,0.0,Frello Filho,4.4,0.0,,a,5.0,8.0,17.0,61.0,33.0,12.0,128393.0,128393.0,26300.0,26300.0,2.4,2.4,Jorginho,0.0,Midfielder
170,1.0,3.0,38.0,,,1.0,101188.0,1.0,,0.0,0.0,0.0,0.0,19.9,32.0,8.0,1.0,,1.0,2.0,3.4,2.4,12.0,Lucas,12.0,0.0,0.0,6.1,42.0,10.0,155.0,1.0,40.8,15.0,7.0,90.0,,,60.0,0.0,0.0,,0.0,,101188.jpg,12.0,0.0,0.0,Digne,11.9,0.0,,a,7.0,11.0,0.0,478.0,190.0,12.0,236075.0,236075.0,35169.0,35169.0,2.0,2.0,Digne,0.0,Defender
140,0.0,3.0,31.0,,,1.0,40836.0,,,0.0,0.0,0.0,0.0,0.0,351.0,40.0,,,1.0,1.0,2.0,2.5,10.0,Vicente,10.0,0.0,0.0,4.1,67.0,1.0,128.0,1.0,41.4,12.0,1.0,90.0,,,50.0,0.0,0.0,,0.0,,40836.jpg,10.0,0.0,5.0,Guaita,3.0,0.0,,a,6.0,31.0,0.0,309.0,40.0,10.0,41776.0,41776.0,14412.0,14412.0,2.0,2.0,Guaita,0.0,Goalkeeper
26,3.0,2.0,35.0,,,1.0,47431.0,2.0,,1.0,-1.0,1.0,-1.0,38.0,10.0,8.0,1.0,,1.0,3.0,3.3,3.8,14.0,Willian,14.0,0.0,0.0,11.5,5.0,3.0,478.0,1.0,38.6,19.0,7.0,74.0,,,81.0,0.0,0.0,,0.0,,47431.jpg,14.0,0.0,0.0,Borges Da Silva,15.4,0.0,,a,1.0,3.0,38.0,16.0,6.0,14.0,355187.0,355187.0,48032.0,48032.0,1.7,1.7,Willian,0.0,Midfielder
248,0.0,2.0,33.0,,,0.0,72222.0,,,0.0,0.0,0.0,0.0,4.8,95.0,58.0,,,0.0,3.0,1.8,0.3,9.0,Mateusz,9.0,3.0,1.0,8.3,23.0,10.0,198.0,0.0,54.8,7.0,4.0,80.0,,,55.0,0.0,0.0,1.0,0.0,,72222.jpg,9.0,0.0,0.0,Klich,3.2,0.0,,a,10.0,2.0,23.0,38.0,16.0,9.0,119269.0,119269.0,22255.0,22255.0,1.6,1.6,Klich,0.0,Midfielder
172,0.0,1.0,32.0,,,1.0,111234.0,,,0.0,0.0,0.0,0.0,0.0,382.0,46.0,,,0.0,1.0,3.0,2.0,8.0,Jordan,8.0,0.0,0.0,3.9,73.0,2.0,157.0,0.0,38.6,18.0,2.0,90.0,,,50.0,0.0,0.0,,0.0,,111234.jpg,8.0,0.0,5.0,Pickford,8.5,0.0,,a,7.0,11.0,0.0,348.0,46.0,8.0,154817.0,154817.0,26783.0,26783.0,1.6,1.6,Pickford,0.0,Goalkeeper
225,0.0,3.0,52.0,,,1.0,101668.0,,,0.0,0.0,0.0,0.0,10.3,83.0,14.0,,,1.0,4.0,4.3,4.8,13.0,Jamie,13.0,0.0,2.0,11.8,4.0,1.0,224.0,1.0,71.2,3.0,1.0,90.0,,,100.0,0.0,0.0,1.0,0.0,,101668.jpg,13.0,0.0,0.0,Vardy,23.1,0.0,,a,9.0,13.0,36.0,20.0,11.0,13.0,228552.0,228552.0,57531.0,57531.0,1.3,1.3,Vardy,0.0,Forward
252,0.0,1.0,28.0,,,0.0,106617.0,,,1.0,-1.0,1.0,-1.0,0.5,172.0,22.0,,,0.0,4.0,1.6,0.1,7.0,Patrick,7.0,3.0,1.0,6.8,37.0,11.0,202.0,0.0,40.0,17.0,3.0,61.0,,,56.0,0.0,0.0,2.0,0.0,,106617.jpg,7.0,0.0,0.0,Bamford,10.1,0.0,,a,10.0,2.0,27.0,31.0,15.0,7.0,333049.0,333049.0,47654.0,47654.0,1.3,1.2,Bamford,0.0,Forward
376,0.0,2.0,32.0,,,1.0,75115.0,,,0.0,0.0,0.0,0.0,23.3,26.0,1.0,,,0.0,4.0,2.6,2.1,8.0,Callum,8.0,0.0,1.0,10.5,8.0,3.0,506.0,0.0,32.0,27.0,6.0,84.0,,,65.0,0.0,0.0,,0.0,,75115.jpg,8.0,0.0,0.0,Wilson,14.0,0.0,,a,14.0,4.0,50.0,9.0,5.0,8.0,283510.0,283510.0,61334.0,61334.0,1.2,1.2,Wilson,0.0,Forward
